lat,lon,satelite,data
9.837800,-66.082900,GOES-19,2026-01-20 18:10:00
9.819300,-66.064800,GOES-19,2026-01-20 18:10:00
9.440200,-67.954100,GOES-19,2026-01-20 18:10:00
9.218600,-67.737300,GOES-19,2026-01-20 18:10:00
9.218700,-67.718800,GOES-19,2026-01-20 18:10:00
8.641900,-64.119600,GOES-19,2026-01-20 18:10:00
8.450600,-65.473200,GOES-19,2026-01-20 18:10:00
8.432900,-65.287200,GOES-19,2026-01-20 18:10:00
8.414400,-65.287800,GOES-19,2026-01-20 18:10:00
8.396000,-65.269700,GOES-19,2026-01-20 18:10:00
8.310000,-68.625300,GOES-19,2026-01-20 18:10:00
8.298700,-66.500400,GOES-19,2026-01-20 18:10:00
8.242700,-66.650300,GOES-19,2026-01-20 18:10:00
8.242800,-66.631700,GOES-19,2026-01-20 18:10:00
8.071200,-63.613300,GOES-19,2026-01-20 18:10:00
8.045000,-65.317400,GOES-19,2026-01-20 18:10:00
7.775600,-63.660800,GOES-19,2026-01-20 18:10:00
7.694100,-65.457600,GOES-19,2026-01-20 18:10:00
7.694100,-65.439000,GOES-19,2026-01-20 18:10:00
7.694200,-65.420400,GOES-19,2026-01-20 18:10:00
7.371800,-68.311900,GOES-19,2026-01-20 18:10:00
7.380000,-65.726100,GOES-19,2026-01-20 18:10:00
7.382700,-65.019300,GOES-19,2026-01-20 18:10:00
7.077100,-63.269900,GOES-19,2026-01-20 18:10:00
7.077200,-63.251100,GOES-19,2026-01-20 18:10:00
7.058800,-63.251700,GOES-19,2026-01-20 18:10:00
6.990200,-66.790500,GOES-19,2026-01-20 18:10:00
6.582000,-68.435600,GOES-19,2026-01-20 18:10:00
6.563800,-68.417500,GOES-19,2026-01-20 18:10:00
6.545400,-68.436200,GOES-19,2026-01-20 18:10:00
6.545400,-68.417800,GOES-19,2026-01-20 18:10:00
6.360400,-69.244400,GOES-19,2026-01-20 18:10:00
5.796100,-67.769300,GOES-19,2026-01-20 18:10:00
5.617900,-65.839400,GOES-19,2026-01-20 18:10:00
5.618000,-65.820900,GOES-19,2026-01-20 18:10:00
5.508000,-65.896900,GOES-19,2026-01-20 18:10:00
5.508000,-65.878400,GOES-19,2026-01-20 18:10:00
5.442300,-71.893400,GOES-19,2026-01-20 18:10:00
2.308400,-59.521200,GOES-19,2026-01-20 18:10:00
-0.319300,-90.731100,GOES-19,2026-01-20 18:10:00
-0.392500,-91.421800,GOES-19,2026-01-20 18:10:00
-0.410800,-91.421900,GOES-19,2026-01-20 18:10:00
-0.429000,-91.441100,GOES-19,2026-01-20 18:10:00
-0.429000,-91.421900,GOES-19,2026-01-20 18:10:00
-0.757300,-90.923900,GOES-19,2026-01-20 18:10:00
-0.757300,-90.904800,GOES-19,2026-01-20 18:10:00
-0.867200,-91.481400,GOES-19,2026-01-20 18:10:00
-36.743800,-72.652200,GOES-19,2026-01-20 18:10:00
-36.769400,-72.651300,GOES-19,2026-01-20 18:10:00
-36.870600,-72.882000,GOES-19,2026-01-20 18:10:00
2.781100,-60.580600,GOES-19,2026-01-20 18:10:00
2.543800,-60.565100,GOES-19,2026-01-20 18:10:00
-19.436500,-57.235400,GOES-19,2026-01-20 18:10:00
-19.436900,-57.214500,GOES-19,2026-01-20 18:10:00
-19.662300,-56.933100,GOES-19,2026-01-20 18:10:00
-19.436100,-57.256300,GOES-19,2026-01-20 18:10:00
-20.388600,-57.897800,GOES-19,2026-01-20 18:10:00
2.781100,-60.561600,GOES-19,2026-01-20 18:10:00
1.139300,-60.522200,GOES-19,2026-01-20 18:10:00
