lat,lon,satelite,data
10.046100,-70.047800,GOES-19,2026-08-05 23:50:00
10.027400,-70.066600,GOES-19,2026-08-05 23:50:00
10.027500,-70.048200,GOES-19,2026-08-05 23:50:00
-16.314300,-60.433000,GOES-19,2026-08-05 23:50:00
-16.314600,-60.413000,GOES-19,2026-08-05 23:50:00
-16.314800,-60.393100,GOES-19,2026-08-05 23:50:00
-16.315600,-60.333300,GOES-19,2026-08-05 23:50:00
-16.315800,-60.313400,GOES-19,2026-08-05 23:50:00
-16.333800,-60.431200,GOES-19,2026-08-05 23:50:00
-16.334000,-60.411300,GOES-19,2026-08-05 23:50:00
-16.334300,-60.391300,GOES-19,2026-08-05 23:50:00
-16.335000,-60.331500,GOES-19,2026-08-05 23:50:00
-16.335300,-60.311600,GOES-19,2026-08-05 23:50:00
-25.216600,-66.321300,GOES-19,2026-08-05 23:50:00
-14.434300,-45.698300,GOES-19,2026-08-05 23:50:00
-14.434800,-45.675100,GOES-19,2026-08-05 23:50:00
-14.435300,-45.651800,GOES-19,2026-08-05 23:50:00
-14.454400,-45.671600,GOES-19,2026-08-05 23:50:00
-11.145300,-54.902400,GOES-19,2026-08-05 23:50:00
-11.145500,-54.882000,GOES-19,2026-08-05 23:50:00
-11.145700,-54.861700,GOES-19,2026-08-05 23:50:00
-11.164200,-54.900700,GOES-19,2026-08-05 23:50:00
-11.164400,-54.880400,GOES-19,2026-08-05 23:50:00
-11.164600,-54.860000,GOES-19,2026-08-05 23:50:00
-12.575400,-46.932900,GOES-19,2026-08-05 23:50:00
-12.575800,-46.910300,GOES-19,2026-08-05 23:50:00
-12.595100,-46.907500,GOES-19,2026-08-05 23:50:00
-12.613500,-46.949900,GOES-19,2026-08-05 23:50:00
-14.177300,-54.453900,GOES-19,2026-08-05 23:50:00
9.915900,-70.087100,GOES-19,2026-08-06 01:10:00
9.687300,-73.836900,GOES-19,2026-08-06 01:10:00
-12.340800,-66.762900,GOES-19,2026-08-06 01:10:00
-12.340900,-66.744100,GOES-19,2026-08-06 01:10:00
-12.359700,-66.762200,GOES-19,2026-08-06 01:10:00
-12.575000,-46.955500,GOES-19,2026-08-06 01:10:00
-25.195400,-66.323100,GOES-19,2026-08-06 01:10:00
-25.195700,-66.302500,GOES-19,2026-08-06 01:10:00
-25.216600,-66.321300,GOES-19,2026-08-06 01:10:00
-25.216900,-66.300700,GOES-19,2026-08-06 01:10:00
-30.350900,-68.690900,GOES-19,2026-08-06 01:10:00
-30.373700,-68.689100,GOES-19,2026-08-06 01:10:00
-14.434800,-45.675100,GOES-19,2026-08-06 01:10:00
-14.454400,-45.671600,GOES-19,2026-08-06 01:10:00
-14.973600,-52.913400,GOES-19,2026-08-06 01:10:00
-14.993000,-52.910800,GOES-19,2026-08-06 01:10:00
-14.196200,-54.472400,GOES-19,2026-08-06 01:10:00
