lat,lon,satelite,data
-12.507800,-67.245800,GOES-19,2025-09-28 19:10:00
-12.582300,-67.431100,GOES-19,2025-09-28 19:10:00
-11.217500,-66.184700,GOES-19,2025-09-28 19:10:00
-12.133700,-66.789500,GOES-19,2025-09-28 19:10:00
-15.000400,-64.194400,GOES-19,2025-09-28 19:10:00
-15.019600,-64.193300,GOES-19,2025-09-28 19:10:00
-22.308900,-63.739800,GOES-19,2025-09-28 19:10:00
-23.208800,-64.285400,GOES-19,2025-09-28 19:10:00
-23.268900,-64.443200,GOES-19,2025-09-28 19:10:00
-23.289400,-64.461700,GOES-19,2025-09-28 19:10:00
-23.289700,-64.441300,GOES-19,2025-09-28 19:10:00
-23.289900,-64.420800,GOES-19,2025-09-28 19:10:00
-24.486400,-63.992700,GOES-19,2025-09-28 19:10:00
-24.707300,-63.303900,GOES-19,2025-09-28 19:10:00
-24.830100,-63.561000,GOES-19,2025-09-28 19:10:00
-29.672100,-62.466900,GOES-19,2025-09-28 19:10:00
-29.672500,-62.444800,GOES-19,2025-09-28 19:10:00
-11.078200,-67.947300,GOES-19,2025-09-28 19:10:00
-11.324700,-67.211600,GOES-19,2025-09-28 19:10:00
-11.324700,-67.192900,GOES-19,2025-09-28 19:10:00
-11.978200,-47.129600,GOES-19,2025-09-28 19:10:00
-4.382600,-44.076600,GOES-19,2025-09-28 19:10:00
-10.812400,-69.088400,GOES-19,2025-09-28 19:10:00
-14.553500,-48.401400,GOES-19,2025-09-28 19:10:00
-11.364200,-45.033900,GOES-19,2025-09-28 19:10:00
-11.978600,-47.107200,GOES-19,2025-09-28 19:10:00
-9.110200,-45.865300,GOES-19,2025-09-28 19:10:00
-11.429400,-43.507000,GOES-19,2025-09-28 19:10:00
-12.264100,-44.036300,GOES-19,2025-09-28 19:10:00
-10.067400,-52.074800,GOES-19,2025-09-28 19:10:00
-12.698300,-45.479700,GOES-19,2025-09-28 19:10:00
-14.586300,-44.972700,GOES-19,2025-09-28 19:10:00
-2.266100,-47.383500,GOES-19,2025-09-28 19:10:00
-11.700200,-44.428300,GOES-19,2025-09-28 19:10:00
-11.959500,-47.109800,GOES-19,2025-09-28 19:10:00
-12.895800,-45.217600,GOES-19,2025-09-28 19:10:00
-12.771400,-47.778400,GOES-19,2025-09-28 19:10:00
-10.048400,-52.097400,GOES-19,2025-09-28 19:10:00
-15.695500,-47.807100,GOES-19,2025-09-28 19:10:00
-10.029500,-52.099100,GOES-19,2025-09-28 19:10:00
-8.898800,-47.626300,GOES-19,2025-09-28 19:10:00
-9.442200,-50.893000,GOES-19,2025-09-28 19:10:00
-12.771800,-47.756000,GOES-19,2025-09-28 19:10:00
-13.626300,-47.337800,GOES-19,2025-09-28 19:10:00
-12.971700,-46.284600,GOES-19,2025-09-28 19:10:00
0.395700,-51.003600,GOES-19,2025-09-28 19:10:00
-11.383000,-45.054300,GOES-19,2025-09-28 19:10:00
-9.419400,-54.697000,GOES-19,2025-09-28 19:10:00
-12.972200,-46.261700,GOES-19,2025-09-28 19:10:00
-11.624700,-52.862400,GOES-19,2025-09-28 19:10:00
-14.553000,-48.423700,GOES-19,2025-09-28 19:10:00
-9.461000,-50.891300,GOES-19,2025-09-28 19:10:00
-11.643600,-52.860500,GOES-19,2025-09-28 19:10:00
-8.759100,-49.892600,GOES-19,2025-09-28 19:10:00
-2.577200,-48.414600,GOES-19,2025-09-28 19:10:00
-5.218600,-44.643400,GOES-19,2025-09-28 19:10:00
-10.193300,-52.563100,GOES-19,2025-09-28 19:10:00
-10.048600,-52.076500,GOES-19,2025-09-28 19:10:00
-12.934500,-45.211300,GOES-19,2025-09-28 19:10:00
-10.876300,-50.795100,GOES-19,2025-09-28 19:10:00
-14.745500,-45.712200,GOES-19,2025-09-28 19:10:00
-11.944500,-48.002600,GOES-19,2025-09-28 19:10:00
-9.087100,-47.629400,GOES-19,2025-09-28 19:10:00
-12.790600,-47.775600,GOES-19,2025-09-28 19:10:00
-12.953800,-45.208200,GOES-19,2025-09-28 19:10:00
-14.888900,-47.199900,GOES-19,2025-09-28 19:10:00
-12.691300,-46.893400,GOES-19,2025-09-28 19:10:00
-4.977000,-44.499300,GOES-19,2025-09-28 19:10:00
-9.745400,-47.780600,GOES-19,2025-09-28 19:10:00
-11.959100,-47.132300,GOES-19,2025-09-28 19:10:00
-4.995500,-44.520900,GOES-19,2025-09-28 19:10:00
-15.715100,-47.803600,GOES-19,2025-09-28 19:10:00
-15.432800,-48.212600,GOES-19,2025-09-28 19:10:00
-2.577300,-48.393100,GOES-19,2025-09-28 19:10:00
-8.822900,-46.189000,GOES-19,2025-09-28 19:10:00
-8.663100,-50.092700,GOES-19,2025-09-28 19:10:00
-14.806700,-45.585100,GOES-19,2025-09-28 19:10:00
-11.505400,-43.542600,GOES-19,2025-09-28 19:10:00
-12.569800,-41.288100,GOES-19,2025-09-28 19:10:00
-9.109900,-45.887900,GOES-19,2025-09-28 19:10:00
-12.791000,-47.753300,GOES-19,2025-09-28 19:10:00
-11.963300,-48.022300,GOES-19,2025-09-28 19:10:00
-11.624900,-52.841600,GOES-19,2025-09-28 19:10:00
-10.174500,-52.564800,GOES-19,2025-09-28 19:10:00
-8.698700,-47.071900,GOES-19,2025-09-28 19:10:00
-9.957800,-43.622200,GOES-19,2025-09-28 19:10:00
-11.963700,-48.000100,GOES-19,2025-09-28 19:10:00
-12.589200,-41.284500,GOES-19,2025-09-28 19:10:00
-8.898600,-47.648300,GOES-19,2025-09-28 19:10:00
-9.400700,-54.698400,GOES-19,2025-09-28 19:10:00
-8.822600,-46.211500,GOES-19,2025-09-28 19:10:00
-3.101300,-47.008200,GOES-19,2025-09-28 19:10:00
-11.383400,-45.031200,GOES-19,2025-09-28 19:10:00
-14.776900,-45.171400,GOES-19,2025-09-28 19:10:00
-11.997800,-47.104500,GOES-19,2025-09-28 19:10:00
0.377300,-50.982900,GOES-19,2025-09-28 19:10:00
-9.938700,-43.624800,GOES-19,2025-09-28 19:10:00
-9.689000,-46.386000,GOES-19,2025-09-28 19:10:00
-11.719400,-44.425400,GOES-19,2025-09-28 19:10:00
-9.670100,-46.388200,GOES-19,2025-09-28 19:10:00
-14.757300,-45.175000,GOES-19,2025-09-28 19:10:00
-15.243600,-40.432600,GOES-19,2025-09-28 19:10:00
-15.202200,-48.049600,GOES-19,2025-09-28 19:10:00
-14.746000,-45.688900,GOES-19,2025-09-28 19:10:00
-11.453800,-51.496600,GOES-19,2025-09-28 19:10:00
-12.672000,-46.896300,GOES-19,2025-09-28 19:10:00
-15.469300,-50.243400,GOES-19,2025-09-28 19:10:00
