lat,lon,satelite,data
-13.176400,-65.973100,GOES-19,2025-10-24 20:30:00
-13.176800,-65.916200,GOES-19,2025-10-24 20:30:00
-13.320200,-64.386400,GOES-19,2025-10-24 20:30:00
-13.320300,-64.367300,GOES-19,2025-10-24 20:30:00
-15.333900,-61.563500,GOES-19,2025-10-24 20:30:00
-15.372400,-61.560500,GOES-19,2025-10-24 20:30:00
-17.077500,-60.181500,GOES-19,2025-10-24 20:30:00
-17.077800,-60.161400,GOES-19,2025-10-24 20:30:00
-17.229900,-60.487000,GOES-19,2025-10-24 20:30:00
-17.249200,-60.505100,GOES-19,2025-10-24 20:30:00
-17.249500,-60.485100,GOES-19,2025-10-24 20:30:00
-17.646500,-60.125100,GOES-19,2025-10-24 20:30:00
-17.666200,-60.123100,GOES-19,2025-10-24 20:30:00
-17.670800,-61.244400,GOES-19,2025-10-24 20:30:00
-17.972500,-62.252500,GOES-19,2025-10-24 20:30:00
-19.413400,-59.793200,GOES-19,2025-10-24 20:30:00
-24.178300,-60.941100,GOES-19,2025-10-24 20:30:00
-19.413700,-59.772800,GOES-19,2025-10-24 20:30:00
-19.433300,-59.790900,GOES-19,2025-10-24 20:30:00
-20.102100,-58.144400,GOES-19,2025-10-24 20:30:00
-20.323700,-59.295100,GOES-19,2025-10-24 20:30:00
-20.324000,-59.274400,GOES-19,2025-10-24 20:30:00
-20.324400,-59.253800,GOES-19,2025-10-24 20:30:00
-20.442100,-60.696700,GOES-19,2025-10-24 20:30:00
-20.525100,-60.544100,GOES-19,2025-10-24 20:30:00
-20.525400,-60.523600,GOES-19,2025-10-24 20:30:00
-20.545300,-60.541800,GOES-19,2025-10-24 20:30:00
-20.545600,-60.521300,GOES-19,2025-10-24 20:30:00
-20.565500,-60.539500,GOES-19,2025-10-24 20:30:00
-20.565800,-60.518900,GOES-19,2025-10-24 20:30:00
-20.569100,-60.313700,GOES-19,2025-10-24 20:30:00
-20.802600,-60.880600,GOES-19,2025-10-24 20:30:00
-21.245700,-58.656900,GOES-19,2025-10-24 20:30:00
-21.254100,-61.831400,GOES-19,2025-10-24 20:30:00
-21.584500,-57.981200,GOES-19,2025-10-24 20:30:00
-21.584900,-57.960100,GOES-19,2025-10-24 20:30:00
-21.605400,-57.957100,GOES-19,2025-10-24 20:30:00
-21.759900,-62.042000,GOES-19,2025-10-24 20:30:00
-21.760200,-62.021500,GOES-19,2025-10-24 20:30:00
-21.760600,-62.001000,GOES-19,2025-10-24 20:30:00
-21.780400,-62.039800,GOES-19,2025-10-24 20:30:00
-21.780700,-62.019300,GOES-19,2025-10-24 20:30:00
-21.781000,-61.998800,GOES-19,2025-10-24 20:30:00
-21.904400,-63.372600,GOES-19,2025-10-24 20:30:00
-21.904600,-63.352200,GOES-19,2025-10-24 20:30:00
-22.065400,-58.521900,GOES-19,2025-10-24 20:30:00
-23.119800,-58.430400,GOES-19,2025-10-24 20:30:00
-23.129800,-57.939800,GOES-19,2025-10-24 20:30:00
-23.130200,-57.918500,GOES-19,2025-10-24 20:30:00
-23.139800,-58.469900,GOES-19,2025-10-24 20:30:00
-23.140600,-58.427300,GOES-19,2025-10-24 20:30:00
-23.150600,-57.936600,GOES-19,2025-10-24 20:30:00
-23.151100,-57.915200,GOES-19,2025-10-24 20:30:00
-23.246800,-60.498200,GOES-19,2025-10-24 20:30:00
-23.267200,-60.516400,GOES-19,2025-10-24 20:30:00
-23.267600,-60.495400,GOES-19,2025-10-24 20:30:00
-23.267900,-60.474400,GOES-19,2025-10-24 20:30:00
-23.444800,-57.804800,GOES-19,2025-10-24 20:30:00
-23.491100,-56.636200,GOES-19,2025-10-24 20:30:00
-23.491600,-56.614500,GOES-19,2025-10-24 20:30:00
-23.796700,-60.045400,GOES-19,2025-10-24 20:30:00
-23.797100,-60.024300,GOES-19,2025-10-24 20:30:00
-23.817700,-60.042500,GOES-19,2025-10-24 20:30:00
-23.818100,-60.021400,GOES-19,2025-10-24 20:30:00
-24.177900,-60.962200,GOES-19,2025-10-24 20:30:00
-24.198600,-60.980500,GOES-19,2025-10-24 20:30:00
-24.199000,-60.959400,GOES-19,2025-10-24 20:30:00
-24.199400,-60.938300,GOES-19,2025-10-24 20:30:00
-24.537100,-63.406100,GOES-19,2025-10-24 20:30:00
-24.558200,-63.403800,GOES-19,2025-10-24 20:30:00
-24.700200,-57.076300,GOES-19,2025-10-24 20:30:00
-24.721000,-57.094400,GOES-19,2025-10-24 20:30:00
-24.721500,-57.072500,GOES-19,2025-10-24 20:30:00
-24.722000,-57.050700,GOES-19,2025-10-24 20:30:00
-24.742200,-57.090600,GOES-19,2025-10-24 20:30:00
-24.742700,-57.068800,GOES-19,2025-10-24 20:30:00
-25.069300,-60.692200,GOES-19,2025-10-24 20:30:00
-25.090200,-60.710500,GOES-19,2025-10-24 20:30:00
-25.090600,-60.689200,GOES-19,2025-10-24 20:30:00
-25.091000,-60.667900,GOES-19,2025-10-24 20:30:00
-25.484800,-61.229100,GOES-19,2025-10-24 20:30:00
-25.837100,-60.688700,GOES-19,2025-10-24 20:30:00
-25.862500,-59.438100,GOES-19,2025-10-24 20:30:00
-25.862900,-59.416400,GOES-19,2025-10-24 20:30:00
-25.863400,-59.394700,GOES-19,2025-10-24 20:30:00
-25.884000,-59.434600,GOES-19,2025-10-24 20:30:00
-25.884500,-59.413000,GOES-19,2025-10-24 20:30:00
-25.884900,-59.391300,GOES-19,2025-10-24 20:30:00
-26.131900,-60.988400,GOES-19,2025-10-24 20:30:00
-28.171700,-62.637800,GOES-19,2025-10-24 20:30:00
-28.172100,-62.616100,GOES-19,2025-10-24 20:30:00
-10.162300,-43.923000,GOES-19,2025-10-24 20:30:00
-10.199700,-43.964700,GOES-19,2025-10-24 20:30:00
-10.519900,-44.178100,GOES-19,2025-10-24 20:30:00
-11.542400,-44.684300,GOES-19,2025-10-24 20:30:00
-11.561200,-44.704700,GOES-19,2025-10-24 20:30:00
-11.561600,-44.681500,GOES-19,2025-10-24 20:30:00
-11.562000,-44.658200,GOES-19,2025-10-24 20:30:00
-15.007800,-46.196200,GOES-19,2025-10-24 20:30:00
-15.192700,-44.077300,GOES-19,2025-10-24 20:30:00
-15.527100,-45.706500,GOES-19,2025-10-24 20:30:00
-19.334300,-49.081200,GOES-19,2025-10-24 20:30:00
-9.321800,-46.985400,GOES-19,2025-10-24 20:30:00
-9.299600,-57.540200,GOES-19,2025-10-24 20:30:00
-9.444100,-47.724700,GOES-19,2025-10-24 20:30:00
-9.463000,-47.722700,GOES-19,2025-10-24 20:30:00
-9.438200,-56.640900,GOES-19,2025-10-24 20:30:00
-9.456700,-56.659500,GOES-19,2025-10-24 20:30:00
-9.456800,-56.639600,GOES-19,2025-10-24 20:30:00
-9.882100,-47.456600,GOES-19,2025-10-24 20:30:00
-10.012500,-47.596800,GOES-19,2025-10-24 20:30:00
-10.564300,-56.381200,GOES-19,2025-10-24 20:30:00
-10.648300,-57.350800,GOES-19,2025-10-24 20:30:00
-10.845100,-48.971200,GOES-19,2025-10-24 20:30:00
-12.119100,-46.727900,GOES-19,2025-10-24 20:30:00
-12.119500,-46.705300,GOES-19,2025-10-24 20:30:00
-12.138700,-46.702600,GOES-19,2025-10-24 20:30:00
-12.243200,-47.294500,GOES-19,2025-10-24 20:30:00
-12.243600,-47.272100,GOES-19,2025-10-24 20:30:00
-15.929100,-56.107200,GOES-19,2025-10-24 20:30:00
