lat,lon,satelite,data
-1.079100,-79.771400,GOES-19,2025-11-28 17:00:00
-1.115400,-79.843900,GOES-19,2025-11-28 17:00:00
-1.133600,-79.844000,GOES-19,2025-11-28 17:00:00
-1.133600,-79.825900,GOES-19,2025-11-28 17:00:00
-1.133600,-79.771600,GOES-19,2025-11-28 17:00:00
-1.133500,-79.753400,GOES-19,2025-11-28 17:00:00
-1.151700,-79.825900,GOES-19,2025-11-28 17:00:00
-1.188000,-79.844100,GOES-19,2025-11-28 17:00:00
-1.206100,-79.753600,GOES-19,2025-11-28 17:00:00
-1.224300,-79.862300,GOES-19,2025-11-28 17:00:00
-1.242400,-79.789900,GOES-19,2025-11-28 17:00:00
-1.242400,-79.735600,GOES-19,2025-11-28 17:00:00
-1.242400,-79.663100,GOES-19,2025-11-28 17:00:00
-1.260600,-79.898600,GOES-19,2025-11-28 17:00:00
-1.260600,-79.880500,GOES-19,2025-11-28 17:00:00
-1.260500,-79.735600,GOES-19,2025-11-28 17:00:00
-1.278700,-79.880500,GOES-19,2025-11-28 17:00:00
-1.278700,-79.862400,GOES-19,2025-11-28 17:00:00
-1.278700,-79.826200,GOES-19,2025-11-28 17:00:00
-1.315000,-79.862500,GOES-19,2025-11-28 17:00:00
-1.369500,-79.971300,GOES-19,2025-11-28 17:00:00
-1.369400,-79.717800,GOES-19,2025-11-28 17:00:00
-1.405800,-80.116400,GOES-19,2025-11-28 17:00:00
-1.424000,-80.134500,GOES-19,2025-11-28 17:00:00
-1.442000,-79.790400,GOES-19,2025-11-28 17:00:00
-1.478400,-80.134700,GOES-19,2025-11-28 17:00:00
-1.478300,-79.844800,GOES-19,2025-11-28 17:00:00
-1.478300,-79.826700,GOES-19,2025-11-28 17:00:00
-1.496600,-80.171000,GOES-19,2025-11-28 17:00:00
-1.496500,-80.134700,GOES-19,2025-11-28 17:00:00
-1.514600,-80.026100,GOES-19,2025-11-28 17:00:00
-1.532800,-80.153000,GOES-19,2025-11-28 17:00:00
-1.551000,-80.062400,GOES-19,2025-11-28 17:00:00
-1.623600,-80.171400,GOES-19,2025-11-28 17:00:00
-1.623600,-80.153200,GOES-19,2025-11-28 17:00:00
-1.623500,-80.062600,GOES-19,2025-11-28 17:00:00
-1.641700,-80.171400,GOES-19,2025-11-28 17:00:00
