lat,lon,satelite,data
-13.743800,-63.672700,GOES-19,2026-07-01 16:20:00
-16.368200,-59.288700,GOES-19,2026-07-01 16:20:00
-16.403100,-59.586100,GOES-19,2026-07-01 16:20:00
-17.131500,-60.536400,GOES-19,2026-07-01 16:20:00
-17.151000,-60.534500,GOES-19,2026-07-01 16:20:00
-17.497500,-59.556300,GOES-19,2026-07-01 16:20:00
-18.312300,-59.062600,GOES-19,2026-07-01 16:20:00
-18.390900,-59.094400,GOES-19,2026-07-01 16:20:00
-18.391300,-59.074000,GOES-19,2026-07-01 16:20:00
-20.525700,-60.503100,GOES-19,2026-07-01 16:20:00
-20.566200,-60.498400,GOES-19,2026-07-01 16:20:00
-10.439000,-49.578900,GOES-19,2026-07-01 16:20:00
-3.867100,-42.968500,GOES-19,2026-07-01 16:20:00
-10.678400,-54.535600,GOES-19,2026-07-01 16:20:00
-11.433800,-56.050900,GOES-19,2026-07-01 16:20:00
-10.659600,-54.537200,GOES-19,2026-07-01 16:20:00
-11.414700,-56.072600,GOES-19,2026-07-01 16:20:00
-10.659800,-54.516900,GOES-19,2026-07-01 16:20:00
-17.712000,-46.779800,GOES-19,2026-07-01 16:20:00
-11.414900,-56.052500,GOES-19,2026-07-01 16:20:00
-11.910800,-43.408100,GOES-19,2026-07-01 16:20:00
-10.438700,-49.600500,GOES-19,2026-07-01 16:20:00
-5.492500,-43.216500,GOES-19,2026-07-01 16:20:00
-10.678700,-54.515300,GOES-19,2026-07-01 16:20:00
-10.784300,-53.543400,GOES-19,2026-07-01 16:20:00
-10.848500,-45.059500,GOES-19,2026-07-01 16:20:00
-10.765400,-53.545100,GOES-19,2026-07-01 16:20:00
