lat,lon,satelite,data
8.754900,-63.739500,GOES-19,2026-02-08 18:30:00
8.755000,-63.720600,GOES-19,2026-02-08 18:30:00
8.736400,-63.740100,GOES-19,2026-02-08 18:30:00
8.736500,-63.721300,GOES-19,2026-02-08 18:30:00
8.665600,-67.158400,GOES-19,2026-02-08 18:30:00
1.285200,-60.426500,GOES-19,2026-02-08 18:30:00
5.407900,-70.112900,GOES-19,2026-02-08 18:30:00
5.407900,-70.094600,GOES-19,2026-02-08 18:30:00
4.748800,-72.368300,GOES-19,2026-02-08 18:30:00
9.962500,-63.653900,GOES-19,2026-02-08 18:30:00
9.608200,-63.781900,GOES-19,2026-02-08 18:30:00
9.569100,-64.122900,GOES-19,2026-02-08 18:30:00
9.351100,-63.263300,GOES-19,2026-02-08 18:30:00
9.198000,-64.080600,GOES-19,2026-02-08 18:30:00
8.864200,-64.092900,GOES-19,2026-02-08 18:30:00
8.754600,-68.155100,GOES-19,2026-02-08 18:30:00
8.754700,-68.136600,GOES-19,2026-02-08 18:30:00
8.773700,-63.701100,GOES-19,2026-02-08 18:30:00
8.680900,-63.742200,GOES-19,2026-02-08 18:30:00
8.681000,-63.723400,GOES-19,2026-02-08 18:30:00
8.647100,-67.158900,GOES-19,2026-02-08 18:30:00
8.610100,-67.178300,GOES-19,2026-02-08 18:30:00
8.605500,-63.989400,GOES-19,2026-02-08 18:30:00
8.498900,-67.292200,GOES-19,2026-02-08 18:30:00
8.512500,-64.086600,GOES-19,2026-02-08 18:30:00
8.516900,-63.239400,GOES-19,2026-02-08 18:30:00
8.477900,-63.617800,GOES-19,2026-02-08 18:30:00
8.443400,-67.312000,GOES-19,2026-02-08 18:30:00
8.459400,-63.618400,GOES-19,2026-02-08 18:30:00
8.459500,-63.599600,GOES-19,2026-02-08 18:30:00
8.389000,-67.035700,GOES-19,2026-02-08 18:30:00
8.370500,-67.036100,GOES-19,2026-02-08 18:30:00
8.371300,-66.832300,GOES-19,2026-02-08 18:30:00
8.351600,-67.166200,GOES-19,2026-02-08 18:30:00
8.352200,-66.999600,GOES-19,2026-02-08 18:30:00
8.352300,-66.981000,GOES-19,2026-02-08 18:30:00
8.333600,-67.037000,GOES-19,2026-02-08 18:30:00
8.316400,-66.685400,GOES-19,2026-02-08 18:30:00
8.307600,-64.412400,GOES-19,2026-02-08 18:30:00
8.309400,-64.037300,GOES-19,2026-02-08 18:30:00
8.309500,-64.018500,GOES-19,2026-02-08 18:30:00
8.266200,-65.385500,GOES-19,2026-02-08 18:30:00
8.266300,-65.366800,GOES-19,2026-02-08 18:30:00
8.255500,-63.719700,GOES-19,2026-02-08 18:30:00
7.902300,-64.200700,GOES-19,2026-02-08 18:30:00
7.902400,-64.181900,GOES-19,2026-02-08 18:30:00
7.791100,-64.297800,GOES-19,2026-02-08 18:30:00
7.168100,-63.511200,GOES-19,2026-02-08 18:30:00
7.149700,-63.511800,GOES-19,2026-02-08 18:30:00
7.096400,-68.206600,GOES-19,2026-02-08 18:30:00
7.096500,-68.188300,GOES-19,2026-02-08 18:30:00
7.059500,-68.262400,GOES-19,2026-02-08 18:30:00
6.875100,-68.614200,GOES-19,2026-02-08 18:30:00
6.838200,-68.688200,GOES-19,2026-02-08 18:30:00
6.838400,-68.614800,GOES-19,2026-02-08 18:30:00
6.838600,-68.541500,GOES-19,2026-02-08 18:30:00
6.838600,-68.523100,GOES-19,2026-02-08 18:30:00
6.820300,-68.523400,GOES-19,2026-02-08 18:30:00
6.801500,-68.725400,GOES-19,2026-02-08 18:30:00
6.801600,-68.670400,GOES-19,2026-02-08 18:30:00
6.801900,-68.542100,GOES-19,2026-02-08 18:30:00
6.801900,-68.523700,GOES-19,2026-02-08 18:30:00
6.783200,-68.670700,GOES-19,2026-02-08 18:30:00
6.783400,-68.615700,GOES-19,2026-02-08 18:30:00
6.783600,-68.524000,GOES-19,2026-02-08 18:30:00
6.762300,-69.933600,GOES-19,2026-02-08 18:30:00
6.763300,-63.504600,GOES-19,2026-02-08 18:30:00
6.728100,-68.708300,GOES-19,2026-02-08 18:30:00
6.728200,-68.689900,GOES-19,2026-02-08 18:30:00
6.709800,-68.708500,GOES-19,2026-02-08 18:30:00
6.709800,-68.690200,GOES-19,2026-02-08 18:30:00
