lat,lon,satelite,data
10.299900,-73.907700,GOES-19,2026-03-17 18:40:00
9.492500,-64.539800,GOES-19,2026-03-17 18:40:00
9.492600,-64.521000,GOES-19,2026-03-17 18:40:00
9.390600,-74.350500,GOES-19,2026-03-17 18:40:00
9.390900,-73.819800,GOES-19,2026-03-17 18:40:00
9.242700,-73.948400,GOES-19,2026-03-17 18:40:00
9.237700,-67.588600,GOES-19,2026-03-17 18:40:00
8.928300,-74.406300,GOES-19,2026-03-17 18:40:00
8.928300,-74.388000,GOES-19,2026-03-17 18:40:00
8.828900,-68.042600,GOES-19,2026-03-17 18:40:00
8.791500,-68.172700,GOES-19,2026-03-17 18:40:00
8.472200,-70.129400,GOES-19,2026-03-17 18:40:00
8.315500,-66.944900,GOES-19,2026-03-17 18:40:00
8.297100,-66.926800,GOES-19,2026-03-17 18:40:00
8.242700,-66.650300,GOES-19,2026-03-17 18:40:00
8.224300,-66.632200,GOES-19,2026-03-17 18:40:00
8.132600,-66.486200,GOES-19,2026-03-17 18:40:00
8.095100,-66.654000,GOES-19,2026-03-17 18:40:00
8.003600,-66.470900,GOES-19,2026-03-17 18:40:00
7.966200,-66.601600,GOES-19,2026-03-17 18:40:00
7.677200,-71.894800,GOES-19,2026-03-17 18:40:00
7.537100,-68.364100,GOES-19,2026-03-17 18:40:00
7.518700,-68.382800,GOES-19,2026-03-17 18:40:00
7.499600,-68.658800,GOES-19,2026-03-17 18:40:00
7.480800,-68.787600,GOES-19,2026-03-17 18:40:00
7.462500,-68.769600,GOES-19,2026-03-17 18:40:00
7.462600,-68.732900,GOES-19,2026-03-17 18:40:00
7.462800,-68.659400,GOES-19,2026-03-17 18:40:00
7.444500,-68.623000,GOES-19,2026-03-17 18:40:00
7.459000,-64.364000,GOES-19,2026-03-17 18:40:00
7.370200,-68.918000,GOES-19,2026-03-17 18:40:00
7.375500,-67.040800,GOES-19,2026-03-17 18:40:00
7.356300,-67.281100,GOES-19,2026-03-17 18:40:00
7.337900,-67.281500,GOES-19,2026-03-17 18:40:00
7.319300,-67.374100,GOES-19,2026-03-17 18:40:00
7.319800,-67.189600,GOES-19,2026-03-17 18:40:00
7.279200,-68.552400,GOES-19,2026-03-17 18:40:00
7.279500,-68.460600,GOES-19,2026-03-17 18:40:00
7.281200,-67.835400,GOES-19,2026-03-17 18:40:00
7.283100,-67.190400,GOES-19,2026-03-17 18:40:00
7.283100,-67.171900,GOES-19,2026-03-17 18:40:00
7.260900,-68.552700,GOES-19,2026-03-17 18:40:00
7.260900,-68.534400,GOES-19,2026-03-17 18:40:00
7.261100,-68.460900,GOES-19,2026-03-17 18:40:00
7.262800,-67.835800,GOES-19,2026-03-17 18:40:00
7.264200,-67.356800,GOES-19,2026-03-17 18:40:00
7.264200,-67.338300,GOES-19,2026-03-17 18:40:00
7.242600,-68.498000,GOES-19,2026-03-17 18:40:00
7.242700,-68.461200,GOES-19,2026-03-17 18:40:00
7.245800,-67.338700,GOES-19,2026-03-17 18:40:00
7.225400,-68.057200,GOES-19,2026-03-17 18:40:00
7.226300,-67.744400,GOES-19,2026-03-17 18:40:00
7.227500,-67.339100,GOES-19,2026-03-17 18:40:00
7.227600,-67.283800,GOES-19,2026-03-17 18:40:00
7.227900,-67.191600,GOES-19,2026-03-17 18:40:00
7.205700,-68.572000,GOES-19,2026-03-17 18:40:00
7.205700,-68.553700,GOES-19,2026-03-17 18:40:00
7.207000,-68.057600,GOES-19,2026-03-17 18:40:00
7.207400,-67.910400,GOES-19,2026-03-17 18:40:00
7.207600,-67.836800,GOES-19,2026-03-17 18:40:00
7.208500,-67.523800,GOES-19,2026-03-17 18:40:00
7.209100,-67.321000,GOES-19,2026-03-17 18:40:00
7.209500,-67.191900,GOES-19,2026-03-17 18:40:00
7.189100,-67.892400,GOES-19,2026-03-17 18:40:00
7.189200,-67.874000,GOES-19,2026-03-17 18:40:00
7.190000,-67.579400,GOES-19,2026-03-17 18:40:00
7.190500,-67.413600,GOES-19,2026-03-17 18:40:00
7.190900,-67.284500,GOES-19,2026-03-17 18:40:00
7.170100,-68.131800,GOES-19,2026-03-17 18:40:00
7.170400,-68.021500,GOES-19,2026-03-17 18:40:00
7.170600,-67.929500,GOES-19,2026-03-17 18:40:00
7.170700,-67.892700,GOES-19,2026-03-17 18:40:00
7.170800,-67.874300,GOES-19,2026-03-17 18:40:00
7.171400,-67.671800,GOES-19,2026-03-17 18:40:00
7.171500,-67.616600,GOES-19,2026-03-17 18:40:00
7.172000,-67.450800,GOES-19,2026-03-17 18:40:00
7.172000,-67.432400,GOES-19,2026-03-17 18:40:00
7.172100,-67.413900,GOES-19,2026-03-17 18:40:00
7.172800,-67.192700,GOES-19,2026-03-17 18:40:00
7.174600,-66.601800,GOES-19,2026-03-17 18:40:00
7.174700,-66.583300,GOES-19,2026-03-17 18:40:00
7.174900,-66.527800,GOES-19,2026-03-17 18:40:00
7.150300,-68.701400,GOES-19,2026-03-17 18:40:00
7.152400,-67.893100,GOES-19,2026-03-17 18:40:00
7.152900,-67.690600,GOES-19,2026-03-17 18:40:00
7.153000,-67.672200,GOES-19,2026-03-17 18:40:00
7.153700,-67.414300,GOES-19,2026-03-17 18:40:00
7.153900,-67.359000,GOES-19,2026-03-17 18:40:00
7.156300,-66.583700,GOES-19,2026-03-17 18:40:00
7.131800,-68.738400,GOES-19,2026-03-17 18:40:00
7.133200,-68.206000,GOES-19,2026-03-17 18:40:00
7.134100,-67.856600,GOES-19,2026-03-17 18:40:00
7.134600,-67.672600,GOES-19,2026-03-17 18:40:00
7.134700,-67.654200,GOES-19,2026-03-17 18:40:00
7.135500,-67.359400,GOES-19,2026-03-17 18:40:00
7.137500,-66.713500,GOES-19,2026-03-17 18:40:00
7.137500,-66.695000,GOES-19,2026-03-17 18:40:00
7.137600,-66.676500,GOES-19,2026-03-17 18:40:00
7.113400,-68.757100,GOES-19,2026-03-17 18:40:00
7.114600,-68.261400,GOES-19,2026-03-17 18:40:00
7.116100,-67.728100,GOES-19,2026-03-17 18:40:00
7.116400,-67.617700,GOES-19,2026-03-17 18:40:00
7.116600,-67.544000,GOES-19,2026-03-17 18:40:00
7.116700,-67.525600,GOES-19,2026-03-17 18:40:00
7.119100,-66.713900,GOES-19,2026-03-17 18:40:00
7.119200,-66.695400,GOES-19,2026-03-17 18:40:00
7.095000,-68.775700,GOES-19,2026-03-17 18:40:00
7.095300,-68.665700,GOES-19,2026-03-17 18:40:00
7.097700,-67.746900,GOES-19,2026-03-17 18:40:00
7.097700,-67.728500,GOES-19,2026-03-17 18:40:00
7.098800,-67.341700,GOES-19,2026-03-17 18:40:00
7.100600,-66.751200,GOES-19,2026-03-17 18:40:00
7.100800,-66.695800,GOES-19,2026-03-17 18:40:00
7.076600,-68.776000,GOES-19,2026-03-17 18:40:00
7.076800,-68.721000,GOES-19,2026-03-17 18:40:00
7.078700,-67.949600,GOES-19,2026-03-17 18:40:00
7.079600,-67.636800,GOES-19,2026-03-17 18:40:00
7.080700,-67.249900,GOES-19,2026-03-17 18:40:00
7.059900,-68.133800,GOES-19,2026-03-17 18:40:00
7.061700,-67.453000,GOES-19,2026-03-17 18:40:00
7.062200,-67.287100,GOES-19,2026-03-17 18:40:00
7.062300,-67.268700,GOES-19,2026-03-17 18:40:00
7.064000,-66.696600,GOES-19,2026-03-17 18:40:00
7.064100,-66.678100,GOES-19,2026-03-17 18:40:00
7.041700,-68.060600,GOES-19,2026-03-17 18:40:00
7.008700,-66.753200,GOES-19,2026-03-17 18:40:00
7.008800,-66.734700,GOES-19,2026-03-17 18:40:00
6.990000,-66.864400,GOES-19,2026-03-17 18:40:00
6.990400,-66.753600,GOES-19,2026-03-17 18:40:00
6.990400,-66.735100,GOES-19,2026-03-17 18:40:00
6.990900,-66.568900,GOES-19,2026-03-17 18:40:00
6.991000,-66.550400,GOES-19,2026-03-17 18:40:00
6.991100,-66.531900,GOES-19,2026-03-17 18:40:00
6.971600,-66.864800,GOES-19,2026-03-17 18:40:00
6.971800,-66.809400,GOES-19,2026-03-17 18:40:00
6.972000,-66.735500,GOES-19,2026-03-17 18:40:00
6.972700,-66.532300,GOES-19,2026-03-17 18:40:00
6.953300,-66.865200,GOES-19,2026-03-17 18:40:00
6.932500,-67.694800,GOES-19,2026-03-17 18:40:00
6.934900,-66.865500,GOES-19,2026-03-17 18:40:00
6.935000,-66.847100,GOES-19,2026-03-17 18:40:00
6.935400,-66.717800,GOES-19,2026-03-17 18:40:00
6.911900,-68.558600,GOES-19,2026-03-17 18:40:00
6.899000,-66.589300,GOES-19,2026-03-17 18:40:00
6.857300,-68.376000,GOES-19,2026-03-17 18:40:00
6.859700,-67.456900,GOES-19,2026-03-17 18:40:00
6.838200,-68.688200,GOES-19,2026-03-17 18:40:00
6.841100,-67.549300,GOES-19,2026-03-17 18:40:00
6.822700,-67.568100,GOES-19,2026-03-17 18:40:00
6.822900,-67.494400,GOES-19,2026-03-17 18:40:00
6.804200,-67.623600,GOES-19,2026-03-17 18:40:00
6.785800,-67.660700,GOES-19,2026-03-17 18:40:00
6.785900,-67.623900,GOES-19,2026-03-17 18:40:00
6.786200,-67.513500,GOES-19,2026-03-17 18:40:00
6.788100,-66.850100,GOES-19,2026-03-17 18:40:00
6.767600,-67.587500,GOES-19,2026-03-17 18:40:00
6.767700,-67.569100,GOES-19,2026-03-17 18:40:00
6.767900,-67.495500,GOES-19,2026-03-17 18:40:00
6.768300,-67.329800,GOES-19,2026-03-17 18:40:00
6.768700,-67.182400,GOES-19,2026-03-17 18:40:00
6.748300,-67.955600,GOES-19,2026-03-17 18:40:00
6.748900,-67.716600,GOES-19,2026-03-17 18:40:00
6.749000,-67.679800,GOES-19,2026-03-17 18:40:00
6.749300,-67.587800,GOES-19,2026-03-17 18:40:00
6.749300,-67.569400,GOES-19,2026-03-17 18:40:00
6.729900,-67.974300,GOES-19,2026-03-17 18:40:00
6.730600,-67.698500,GOES-19,2026-03-17 18:40:00
6.730700,-67.661800,GOES-19,2026-03-17 18:40:00
6.731000,-67.569800,GOES-19,2026-03-17 18:40:00
6.731200,-67.496200,GOES-19,2026-03-17 18:40:00
6.732000,-67.183100,GOES-19,2026-03-17 18:40:00
6.707600,-69.733400,GOES-19,2026-03-17 18:40:00
6.710000,-68.598500,GOES-19,2026-03-17 18:40:00
6.712400,-67.662100,GOES-19,2026-03-17 18:40:00
6.712500,-67.606900,GOES-19,2026-03-17 18:40:00
6.713500,-67.238700,GOES-19,2026-03-17 18:40:00
6.713600,-67.201900,GOES-19,2026-03-17 18:40:00
6.689600,-69.569100,GOES-19,2026-03-17 18:40:00
6.691200,-68.818800,GOES-19,2026-03-17 18:40:00
6.693600,-67.827900,GOES-19,2026-03-17 18:40:00
6.693700,-67.791100,GOES-19,2026-03-17 18:40:00
6.693800,-67.754400,GOES-19,2026-03-17 18:40:00
6.671200,-69.605900,GOES-19,2026-03-17 18:40:00
6.671300,-69.569300,GOES-19,2026-03-17 18:40:00
6.671300,-69.551100,GOES-19,2026-03-17 18:40:00
6.675500,-67.717900,GOES-19,2026-03-17 18:40:00
6.676500,-67.368400,GOES-19,2026-03-17 18:40:00
6.676800,-67.239500,GOES-19,2026-03-17 18:40:00
6.653000,-69.551300,GOES-19,2026-03-17 18:40:00
6.654100,-69.002500,GOES-19,2026-03-17 18:40:00
6.656900,-67.828500,GOES-19,2026-03-17 18:40:00
6.657200,-67.718200,GOES-19,2026-03-17 18:40:00
6.657700,-67.515900,GOES-19,2026-03-17 18:40:00
6.657900,-67.460700,GOES-19,2026-03-17 18:40:00
6.637800,-68.122700,GOES-19,2026-03-17 18:40:00
6.638200,-67.975800,GOES-19,2026-03-17 18:40:00
6.638400,-67.884000,GOES-19,2026-03-17 18:40:00
6.638500,-67.865600,GOES-19,2026-03-17 18:40:00
6.638600,-67.828900,GOES-19,2026-03-17 18:40:00
6.638600,-67.792100,GOES-19,2026-03-17 18:40:00
6.639700,-67.387500,GOES-19,2026-03-17 18:40:00
6.639900,-67.332200,GOES-19,2026-03-17 18:40:00
6.615900,-69.771100,GOES-19,2026-03-17 18:40:00
6.617300,-69.076200,GOES-19,2026-03-17 18:40:00
6.620300,-67.792400,GOES-19,2026-03-17 18:40:00
6.621600,-67.314200,GOES-19,2026-03-17 18:40:00
6.623500,-66.632000,GOES-19,2026-03-17 18:40:00
6.598800,-69.131400,GOES-19,2026-03-17 18:40:00
6.599100,-69.003300,GOES-19,2026-03-17 18:40:00
6.604600,-66.835400,GOES-19,2026-03-17 18:40:00
6.579800,-69.460900,GOES-19,2026-03-17 18:40:00
6.580200,-69.296300,GOES-19,2026-03-17 18:40:00
6.580500,-69.113300,GOES-19,2026-03-17 18:40:00
6.583800,-67.737900,GOES-19,2026-03-17 18:40:00
6.584700,-67.370100,GOES-19,2026-03-17 18:40:00
6.586200,-66.854200,GOES-19,2026-03-17 18:40:00
6.561500,-69.461100,GOES-19,2026-03-17 18:40:00
6.561600,-69.442800,GOES-19,2026-03-17 18:40:00
6.564500,-68.105600,GOES-19,2026-03-17 18:40:00
6.565400,-67.738300,GOES-19,2026-03-17 18:40:00
6.546300,-68.069200,GOES-19,2026-03-17 18:40:00
6.546500,-67.977400,GOES-19,2026-03-17 18:40:00
6.546600,-67.940700,GOES-19,2026-03-17 18:40:00
6.546700,-67.903900,GOES-19,2026-03-17 18:40:00
6.548100,-67.370800,GOES-19,2026-03-17 18:40:00
6.548600,-67.168200,GOES-19,2026-03-17 18:40:00
6.526400,-68.729700,GOES-19,2026-03-17 18:40:00
6.528100,-67.977700,GOES-19,2026-03-17 18:40:00
6.528200,-67.959400,GOES-19,2026-03-17 18:40:00
6.509700,-68.014800,GOES-19,2026-03-17 18:40:00
6.509800,-67.978000,GOES-19,2026-03-17 18:40:00
6.510700,-67.647300,GOES-19,2026-03-17 18:40:00
6.511600,-67.297800,GOES-19,2026-03-17 18:40:00
6.491400,-68.015100,GOES-19,2026-03-17 18:40:00
6.491600,-67.923200,GOES-19,2026-03-17 18:40:00
6.492200,-67.684400,GOES-19,2026-03-17 18:40:00
6.492700,-67.482100,GOES-19,2026-03-17 18:40:00
6.469600,-69.608500,GOES-19,2026-03-17 18:40:00
6.469600,-69.590300,GOES-19,2026-03-17 18:40:00
6.473200,-67.941900,GOES-19,2026-03-17 18:40:00
6.473900,-67.684700,GOES-19,2026-03-17 18:40:00
6.474400,-67.482500,GOES-19,2026-03-17 18:40:00
6.474700,-67.390500,GOES-19,2026-03-17 18:40:00
6.474700,-67.372100,GOES-19,2026-03-17 18:40:00
6.451000,-69.773100,GOES-19,2026-03-17 18:40:00
6.451300,-69.627000,GOES-19,2026-03-17 18:40:00
6.456000,-67.501200,GOES-19,2026-03-17 18:40:00
6.456100,-67.464400,GOES-19,2026-03-17 18:40:00
6.456300,-67.390800,GOES-19,2026-03-17 18:40:00
6.432200,-70.028900,GOES-19,2026-03-17 18:40:00
6.432900,-69.627300,GOES-19,2026-03-17 18:40:00
6.437100,-67.740500,GOES-19,2026-03-17 18:40:00
6.437600,-67.556700,GOES-19,2026-03-17 18:40:00
6.437700,-67.501500,GOES-19,2026-03-17 18:40:00
6.415100,-69.390000,GOES-19,2026-03-17 18:40:00
6.395100,-70.303000,GOES-19,2026-03-17 18:40:00
6.395900,-69.828600,GOES-19,2026-03-17 18:40:00
6.400400,-67.759500,GOES-19,2026-03-17 18:40:00
6.400400,-67.741100,GOES-19,2026-03-17 18:40:00
6.400600,-67.686000,GOES-19,2026-03-17 18:40:00
6.400800,-67.594100,GOES-19,2026-03-17 18:40:00
6.400800,-67.575700,GOES-19,2026-03-17 18:40:00
6.382000,-67.778200,GOES-19,2026-03-17 18:40:00
6.382000,-67.759800,GOES-19,2026-03-17 18:40:00
6.382200,-67.686300,GOES-19,2026-03-17 18:40:00
6.382500,-67.594400,GOES-19,2026-03-17 18:40:00
6.382700,-67.520900,GOES-19,2026-03-17 18:40:00
6.363600,-67.815200,GOES-19,2026-03-17 18:40:00
6.344700,-68.035800,GOES-19,2026-03-17 18:40:00
6.322200,-70.085000,GOES-19,2026-03-17 18:40:00
6.328100,-67.356400,GOES-19,2026-03-17 18:40:00
6.328400,-67.227600,GOES-19,2026-03-17 18:40:00
6.328500,-67.209200,GOES-19,2026-03-17 18:40:00
6.304000,-70.066900,GOES-19,2026-03-17 18:40:00
6.306200,-68.861100,GOES-19,2026-03-17 18:40:00
6.310100,-67.246300,GOES-19,2026-03-17 18:40:00
6.273300,-67.283800,GOES-19,2026-03-17 18:40:00
6.249100,-70.049300,GOES-19,2026-03-17 18:40:00
6.253900,-67.725300,GOES-19,2026-03-17 18:40:00
6.214600,-68.880700,GOES-19,2026-03-17 18:40:00
6.218400,-67.247900,GOES-19,2026-03-17 18:40:00
6.195200,-69.429400,GOES-19,2026-03-17 18:40:00
6.200100,-67.266700,GOES-19,2026-03-17 18:40:00
6.181700,-67.285400,GOES-19,2026-03-17 18:40:00
6.157400,-70.123300,GOES-19,2026-03-17 18:40:00
6.157500,-70.105000,GOES-19,2026-03-17 18:40:00
6.159300,-69.100900,GOES-19,2026-03-17 18:40:00
6.159300,-69.082600,GOES-19,2026-03-17 18:40:00
6.160700,-68.423800,GOES-19,2026-03-17 18:40:00
6.160700,-68.405400,GOES-19,2026-03-17 18:40:00
6.163000,-67.414400,GOES-19,2026-03-17 18:40:00
6.163200,-67.359300,GOES-19,2026-03-17 18:40:00
6.139100,-70.123500,GOES-19,2026-03-17 18:40:00
6.141000,-69.101100,GOES-19,2026-03-17 18:40:00
6.141000,-69.082800,GOES-19,2026-03-17 18:40:00
6.123800,-68.515900,GOES-19,2026-03-17 18:40:00
6.126500,-67.359900,GOES-19,2026-03-17 18:40:00
6.107600,-67.617500,GOES-19,2026-03-17 18:40:00
6.086100,-69.047000,GOES-19,2026-03-17 18:40:00
6.086200,-69.028700,GOES-19,2026-03-17 18:40:00
6.089200,-67.636200,GOES-19,2026-03-17 18:40:00
