lat,lon,satelite,data
-36.284700,-65.887800,GOES-19,2026-08-18 21:40:00
-36.285100,-65.864100,GOES-19,2026-08-18 21:40:00
-5.897600,-43.998500,GOES-19,2026-08-18 21:40:00
-6.294700,-43.642700,GOES-19,2026-08-18 21:40:00
-6.294900,-43.619400,GOES-19,2026-08-18 21:40:00
-11.304000,-45.203600,GOES-19,2026-08-18 21:40:00
-11.322800,-45.223900,GOES-19,2026-08-18 21:40:00
-11.323200,-45.200900,GOES-19,2026-08-18 21:40:00
-18.586100,-41.335500,GOES-19,2026-08-18 21:40:00
-5.491700,-60.138000,GOES-19,2026-08-18 21:40:00
-6.036600,-57.804000,GOES-19,2026-08-18 21:40:00
-6.072800,-57.919400,GOES-19,2026-08-18 21:40:00
-6.091200,-57.918700,GOES-19,2026-08-18 21:40:00
-6.091300,-57.899200,GOES-19,2026-08-18 21:40:00
-6.091500,-57.860200,GOES-19,2026-08-18 21:40:00
-6.109900,-57.879000,GOES-19,2026-08-18 21:40:00
-6.110000,-57.859500,GOES-19,2026-08-18 21:40:00
-6.146800,-57.858000,GOES-19,2026-08-18 21:40:00
-6.327900,-44.079700,GOES-19,2026-08-18 21:40:00
-6.346700,-44.078200,GOES-19,2026-08-18 21:40:00
-6.653800,-56.423500,GOES-19,2026-08-18 21:40:00
-6.693700,-58.961300,GOES-19,2026-08-18 21:40:00
-6.693800,-58.942000,GOES-19,2026-08-18 21:40:00
-6.712300,-58.941200,GOES-19,2026-08-18 21:40:00
-6.712400,-58.921900,GOES-19,2026-08-18 21:40:00
-6.730200,-59.037100,GOES-19,2026-08-18 21:40:00
-6.748600,-59.036400,GOES-19,2026-08-18 21:40:00
-6.764700,-59.460100,GOES-19,2026-08-18 21:40:00
-6.766400,-59.151500,GOES-19,2026-08-18 21:40:00
-6.801500,-59.458600,GOES-19,2026-08-18 21:40:00
-6.801700,-59.439400,GOES-19,2026-08-18 21:40:00
-6.894200,-56.431700,GOES-19,2026-08-18 21:40:00
-7.039100,-59.853100,GOES-19,2026-08-18 21:40:00
-7.039200,-59.833800,GOES-19,2026-08-18 21:40:00
-7.057600,-59.852300,GOES-19,2026-08-18 21:40:00
-7.057700,-59.833100,GOES-19,2026-08-18 21:40:00
-7.530100,-55.583900,GOES-19,2026-08-18 21:40:00
-7.530300,-55.564000,GOES-19,2026-08-18 21:40:00
-7.548700,-55.582900,GOES-19,2026-08-18 21:40:00
-7.548800,-55.562900,GOES-19,2026-08-18 21:40:00
-7.567400,-55.561900,GOES-19,2026-08-18 21:40:00
-7.880900,-61.197000,GOES-19,2026-08-18 21:40:00
-9.120000,-61.601100,GOES-19,2026-08-18 21:40:00
-9.199500,-60.831400,GOES-19,2026-08-18 21:40:00
-9.199600,-60.812200,GOES-19,2026-08-18 21:40:00
-9.218100,-60.830500,GOES-19,2026-08-18 21:40:00
-9.218200,-60.811300,GOES-19,2026-08-18 21:40:00
-9.387300,-60.572100,GOES-19,2026-08-18 21:40:00
-9.387500,-60.552800,GOES-19,2026-08-18 21:40:00
-9.387600,-60.533500,GOES-19,2026-08-18 21:40:00
-9.405800,-60.590400,GOES-19,2026-08-18 21:40:00
-9.406000,-60.571100,GOES-19,2026-08-18 21:40:00
-9.406100,-60.551800,GOES-19,2026-08-18 21:40:00
-9.425400,-60.454500,GOES-19,2026-08-18 21:40:00
-9.425600,-60.435300,GOES-19,2026-08-18 21:40:00
-9.425700,-60.416000,GOES-19,2026-08-18 21:40:00
-10.876100,-57.115600,GOES-19,2026-08-18 21:40:00
